subj_idx,rt,response,tgtPos,rwdType,colMatch
5,0.7448,0,0,2,1
5,0.476,1,0,1,1
5,0.5265,1,0,1,1
5,0.5359,1,1,1,1
5,0.3826,0,1,1,1
5,0.6087,1,0,2,1
5,0.6314,1,1,2,1
5,1.5193,1,1,1,1
5,0.4185,0,1,1,1
5,0.552,1,1,2,1
5,1.006,1,1,2,1
5,0.6997,1,1,2,1
5,1.3185,1,1,2,1
5,0.5967,1,1,2,1
5,0.6687,1,1,2,1
5,0.44,0,1,2,1
5,0.3991,1,1,2,1
5,0.5198,1,1,2,1
5,0.5327,0,1,2,1
5,0.7531,1,1,1,1
5,1.4071,0,0,2,1
5,0.6975,0,0,1,1
5,0.4552,1,0,2,1
5,2.1121,1,1,1,1
5,1.5102,1,0,1,1
5,0.4542,0,0,2,1
5,0.6085,0,0,1,1
5,0.6307,1,1,2,1
5,0.6487,0,0,1,1
5,0.5528,1,0,1,1
5,0.5509,1,1,2,1
5,0.6941,1,1,1,1
5,0.5417,1,1,2,1
5,1.0413,0,1,2,1
5,0.6047,1,1,1,1
5,0.8009,0,0,1,1
5,0.7291,1,1,2,1
5,1.5045,1,1,2,1
5,0.6853,1,1,1,1
5,0.7565,1,1,1,1
