"subject","rewardType","tgtPosition","colorPosition","response","rt","congruence"
"4","low","2nd","2nd","1",0.856,"congruent"
"4","high","2nd","2nd","0",0.696,"congruent"
"4","none","2nd","none","1",0.705,"na"
"4","low","2nd","3rd","0",1.129,"incongruent"
"4","high","1st","2nd","1",0.685,"incongruent"
"4","low","3rd","2nd","1",0.467,"incongruent"
"4","none","3rd","none","1",0.433,"na"
"4","low","2nd","1st","1",0.756,"incongruent"
"4","low","1st","2nd","1",0.642,"incongruent"
"4","none","2nd","none","1",0.763,"na"
"4","high","3rd","2nd","1",0.784,"incongruent"
"4","low","2nd","3rd","0",0.611,"incongruent"
"4","none","3rd","none","1",0.549,"na"
"4","high","2nd","3rd","1",0.551,"incongruent"
"4","none","3rd","none","1",0.615,"na"
"4","high","2nd","3rd","1",0.618,"incongruent"
"4","none","3rd","none","1",0.65,"na"
"4","low","1st","2nd","0",0.902,"incongruent"
"4","low","2nd","1st","1",0.585,"incongruent"
